2018-12-13 14:53:16,042 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:16,143 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:16,233 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:16,328 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:16,417 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:16,534 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:16,624 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:16,739 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:16,820 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:16,908 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:16,994 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:17,100 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:17,190 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:17,273 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:17,358 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:17,437 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:17,535 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:17,643 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:17,747 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:17,826 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:17,929 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:18,022 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:18,100 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:18,188 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:18,277 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:18,367 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:18,441 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:18,524 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:18,606 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:18,685 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:18,769 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:18,857 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:18,934 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:19,018 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:19,105 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:19,201 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:19,321 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:19,458 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:19,555 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:19,647 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:19,720 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:19,795 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:19,873 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:19,950 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:20,035 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:20,123 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:20,201 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:20,286 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:20,361 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:20,440 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:20,517 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:20,592 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:20,672 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:20,748 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:20,829 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:20,904 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:20,979 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:21,058 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:21,131 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:21,203 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:21,282 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:21,355 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:21,429 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:21,501 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:21,569 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:21,653 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:21,723 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:21,791 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:21,864 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:21,938 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
