2018-12-13 11:09:43,257 Thread number[5] Log_Level-DEBUG, File-FileMaintenance.cs, Function-FileDelete, - 13-12-18--10-55-54.mog file has deleted
2018-12-13 11:09:43,258 Thread number[5] Log_Level-DEBUG, File-FileMaintenance.cs, Function-FileDelete, - 13-12-18--10-56-54.mog file has deleted
2018-12-13 11:09:43,259 Thread number[5] Log_Level-DEBUG, File-FileMaintenance.cs, Function-FileDelete, - 13-12-18--10-57-54.mog file has deleted
2018-12-13 11:09:43,260 Thread number[8] Log_Level-DEBUG, File-LogSender.cs, Function-MoveNext, - Task list deleted, main loop has finished the current iteration, going to sleep
2018-12-13 11:09:43,260 Thread number[8] Log_Level-DEBUG, File-LogSender.cs, Function-MoveNext, - Main thread going to sleep for 30 seconds
2018-12-13 11:10:13,262 Thread number[8] Log_Level-DEBUG, File-LogSender.cs, Function-MoveNext, - Main thread wake's up, starting new iteration
2018-12-13 11:10:17,278 Thread number[8] Log_Level-DEBUG, File-ServerConnection.cs, Function-MoveNext, - check if server (http://10.0.0.40:8080) is alive
2018-12-13 11:10:17,546 Thread number[8] Log_Level-INFO, File-ServerConnection.cs, Function-MoveNext, - The server (http://10.0.0.40:8080) is online
2018-12-13 11:10:17,546 Thread number[8] Log_Level-DEBUG, File-FileMaintenance.cs, Function-ZeroSizeFileCleanup, - Cleaning all zero size files in Multievent directory
2018-12-13 11:10:17,612 Thread number[8] Log_Level-WARN, File-FileMaintenance.cs, Function-IsFileLocked, - 13-12-18--11-09-54.mog file is in writing mode. cannot be access!
2018-12-13 11:10:17,612 Thread number[8] Log_Level-DEBUG, File-FolderWatcher.cs, Function-IsFolderReadyToSendWatcher, - Watching 'Multievent' folder
2018-12-13 11:10:17,613 Thread number[8] Log_Level-DEBUG, File-FolderWatcher.cs, Function-FolderSizeWatcher, - Watching size of 'Multievent' folder
2018-12-13 11:10:17,669 Thread number[8] Log_Level-WARN, File-FileMaintenance.cs, Function-IsFileLocked, - 13-12-18--11-09-54.mog file is in writing mode. cannot be access!
2018-12-13 11:10:17,670 Thread number[8] Log_Level-DEBUG, File-FolderWatcher.cs, Function-FolderSizeWatcher, - Folder size is 2200768 within the limit (104857600 bytes)
2018-12-13 11:10:17,673 Thread number[8] Log_Level-DEBUG, File-FolderWatcher.cs, Function-IsFolderReadyToSendWatcher, - There are files to send in Multievent folder
2018-12-13 11:10:17,674 Thread number[8] Log_Level-DEBUG, File-LogSender.cs, Function-MoveNext, - Sending process can begin, creating sending process Task for Multievent log folder
2018-12-13 11:10:17,674 Thread number[8] Log_Level-DEBUG, File-LogSender.cs, Function-MoveNext, - Task created for Multievent folder and started his operation
